Cleaned Ancestry,Native Population,NativeType
American Indian,Native American,Implied
Asian or Pacific Islander,Pacific Islander,Implied
Bashkir,Bashkirs,Implied
Finnish Saami,Saami,Implied
Kosraen,Not Native,Not Native
Malay,Not Native,Not Native
Mayan,Mayan,Implied
Micronesian,Not Native,Not Native
Pima Indian,Pima Indians,Implied
Plains American Indian,Plains Indians,Implied
Samoan,Samoan,Implied
Aboriginal Canadian,Aboriginal Canadians,Indicated
Hispanic/Native,Hispanic/Native American,Indicated
Hispanic/Native American,Hispanic/Native American,Indicated
Martu Australian Aboriginal,Indigenous Australian,Indicated
Native American,Native Americans,Indicated
Native American North American,Native Americans,Indicated
Native American or Alaska Native,Native Americans or Alaska Natives,Indicated
Native American South American,Indigenous peoples of South America,Indicated
Native Hawaiian,Native Hawaiians,Indicated
Native Hawaiian or Pacific,Native Hawaiians,Indicated
Afghanistan,Not Native,Not Native
African,Not Native,Not Native
African America and European,Not Native,Not Native
African America/Afro Caribbean,Not Native,Not Native
African American,Not Native,Not Native
African American and African,Not Native,Not Native
African American and African Caribbean,Not Native,Not Native
African American and Afro Caribbean,Not Native,Not Native
African American and European,Not Native,Not Native
African American or Afro Caribbean,Not Native,Not Native
African American or European,Not Native,Not Native
African American/African Caribbean,Not Native,Not Native
African American/Afro Caribbean,Not Native,Not Native
African and African Arab,Not Native,Not Native
African and Asian,Not Native,Not Native
African Arab,Not Native,Not Native
African Caribbean,Not Native,Not Native
Afro Caribbean,Not Native,Not Native
Afro Caribbean and Sub Saharan African,Not Native,Not Native
Amish,Not Native,Not Native
Arab,Not Native,Not Native
Arab Isreali,Not Native,Not Native
Ashkenazi Jewish,Not Native,Not Native
Ashkenazi Jewish Isreali,Not Native,Not Native
Asian,Not Native,Not Native
Asian American,Not Native,Not Native
Asian Indian,Not Native,Not Native
Austrian,Not Native,Not Native
Bangladeshi,Not Native,Not Native
Black,Not Native,Not Native
Black African,Not Native,Not Native
Black and European,Not Native,Not Native
Black Hispanic,Not Native,Not Native
Brazilian,Not Native,Not Native
British,Not Native,Not Native
British and Irish,Not Native,Not Native
Bulgarian,Not Native,Not Native
Cape Verdian,Not Native,Not Native
Caribbean Hispanic,Not Native,Not Native
Caribbean Hispanic/Latino,Not Native,Not Native
Carlantino,Not Native,Not Native
Caucasian Eastern Mediterranean,Not Native,Not Native
Celtic,Not Native,Not Native
Central European,Not Native,Not Native
Chinese,Not Native,Not Native
Cilento,Not Native,Not Native
Colored African,Not Native,Not Native
Costa Rican,Not Native,Not Native
Curacao,Not Native,Not Native
Dai Chinese,Not Native,Not Native
Danish,Not Native,Not Native
Dominican Republic,Not Native,Not Native
Dravidian,Not Native,Not Native
Dutch,Not Native,Not Native
East Asian,Not Native,Not Native
Ethiopian,Not Native,Not Native
European,Not Native,Not Native
European American,Not Native,Not Native
European American and Mexican American,Not Native,Not Native
European and  Rucphen,Not Native,Not Native
European and African American,Not Native,Not Native
European and Ashkenazi Jewish,Not Native,Not Native
European and Asian,Not Native,Not Native
European and East Asian,Not Native,Not Native
European and Hispanic,Not Native,Not Native
European and Indian Asian,Not Native,Not Native
European and Mexican,Not Native,Not Native
European and Middle East/North African,Not Native,Not Native
European and South Asian,Not Native,Not Native
European/Asian,Not Native,Not Native
Fijian Indian,Not Native,Not Native
Filipino,Not Native,Not Native
Finnish,Not Native,Not Native
French,Not Native,Not Native
French Canadian,Not Native,Not Native
Fruili Venezia Giulia,Not Native,Not Native
Gambian,Not Native,Not Native
German,Not Native,Not Native
Greater Middle Eastern,Not Native,Not Native
Han Chinese,Not Native,Not Native
Han Chinese American,Not Native,Not Native
Hispanic,Not Native,Not Native
Hispanic / Latino,Not Native,Not Native
Hispanic American,Not Native,Not Native
Hispanic and European,Not Native,Not Native
Hispanic and Native American,Not Native,Not Native
Hispanic or Latino,Not Native,Not Native
Hispanic/Latin American,Not Native,Not Native
Hispanic/Latino,Not Native,Not Native
Hispanic/Latino American,Not Native,Not Native
Hong Kong Chinese,Not Native,Not Native
Hui Chinese,Not Native,Not Native
Hutterite,Not Native,Not Native
Icelandic,Not Native,Not Native
Indian,Not Native,Not Native
Indian Asian,Not Native,Not Native
Indo European,Not Native,Not Native
Indonesian,Not Native,Not Native
Iranian,Not Native,Not Native
Irish,Not Native,Not Native
Isreali,Not Native,Not Native
Isreali Arab,Not Native,Not Native
Italian,Not Native,Not Native
Jamaican,Not Native,Not Native
Japanese,Not Native,Not Native
Japanese American,Not Native,Not Native
Jewish,Not Native,Not Native
Jewish Isreali,Not Native,Not Native
Jingpo Chinese,Not Native,Not Native
Kenyan,Not Native,Not Native
Korean,Not Native,Not Native
Korkulan,Not Native,Not Native
Latin American,Not Native,Not Native
Latin/South American,Not Native,Not Native
Latino,Not Native,Not Native
Latino American,Not Native,Not Native
Latino or African,Not Native,Not Native
Lebanese,Not Native,Not Native
Mainland Hispanic/Latino,Not Native,Not Native
Malawian,Not Native,Not Native
Malaysian,Not Native,Not Native
Malaysian Chinese,Not Native,Not Native
Mexican,Not Native,Not Native
Mexican American,Not Native,Not Native
Mexican and Latin American,Not Native,Not Native
Mexican/Latino,Not Native,Not Native
Middle Eastern,Not Native,Not Native
Middle Eastern Arab,Not Native,Not Native
Middle Eastern/North African,Not Native,Not Native
Mixed,Not Native,Not Native
Mongolian,Not Native,Not Native
Moroccan,Not Native,Not Native
Mylopotamos,Not Native,Not Native
Nepalese,Not Native,Not Native
Nigerian,Not Native,Not Native
Norfolk Island,Not Native,Not Native
North African,Not Native,Not Native
North Indian,Not Native,Not Native
Northern European,Not Native,Not Native
Northern Finnish,Not Native,Not Native
Northwestern European,Not Native,Not Native
Norwegian,Not Native,Not Native
Oceania,Not Native,Not Native
Ogliastran,Not Native,Not Native
Old Order Amish,Not Native,Not Native
Orcadian,Not Native,Not Native
Oriental,Not Native,Not Native
Pakistani,Not Native,Not Native
Papua New Guinean,Not Native,Not Native
Polish,Not Native,Not Native
Polynesian,Not Native,Not Native
Pomak,Not Native,Not Native
Portuguese,Not Native,Not Native
Puerto Rican,Not Native,Not Native
Punjabi Sikh,Not Native,Not Native
Romanian,Not Native,Not Native
Rucphen,Not Native,Not Native
Russian,Not Native,Not Native
Sardinian,Not Native,Not Native
Saudi Arab,Not Native,Not Native
Sereer,Not Native,Not Native
Seychellois,Not Native,Not Native
She Chinese,Not Native,Not Native
Silk Road,Not Native,Not Native
Singaporean,Not Native,Not Native
Singaporean Chinese,Not Native,Not Native
Sirente,Not Native,Not Native
Slavic,Not Native,Not Native
Solomon Islander,Not Native,Not Native
Sorbian,Not Native,Not Native
South African,Not Native,Not Native
South African Afrikaner,Not Native,Not Native
South African Black,Not Native,Not Native
South and Central American,Not Native,Not Native
South Asian,Not Native,Not Native
South East Asian,Not Native,Not Native
South Indian,Not Native,Not Native
South Tyrol,Not Native,Not Native
Southern Chinese,Not Native,Not Native
Southern European,Not Native,Not Native
Southern Indian,Not Native,Not Native
Spanish,Not Native,Not Native
Split,Not Native,Not Native
Sri Lankan Sinhalese,Not Native,Not Native
Sub Saharan African,Not Native,Not Native
Surinamese,Not Native,Not Native
Swedish,Not Native,Not Native
Taiwanese,Not Native,Not Native
Taiwanese Han,Not Native,Not Native
Talana,Not Native,Not Native
Tanzanian,Not Native,Not Native
Tatar,Not Native,Not Native
Thai,Not Native,Not Native
Thai Chinese,Not Native,Not Native
Tibetan,Not Native,Not Native
Tunisian,Not Native,Not Native
Turkish,Not Native,Not Native
Tyrolean,Not Native,Not Native
Uyghur,Not Native,Not Native
Uygur Chinese,Not Native,Not Native
Uygur Kazakh Chinese,Not Native,Not Native
Val Borbera,Not Native,Not Native
Vietnamese,Not Native,Not Native
Vietnamese Korean,Not Native,Not Native
West African,Not Native,Not Native
Western European,Not Native,Not Native
Yoruban,Not Native,Not Native
Ugandan,Not Native,Not Native
Taiwanese Han Chinese,Not Native,Not Native
Hispanic Caucasian,Not Native,Not Native
